2026-03-28 12:44:58,361 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXATPSETWINNER-26MAR28GALTAB-1-GAL at 0.0100 and Buy YES on KXATPSETWINNER-26MAR28GALTAB-1-TAB at 0.9700 of size 6 | Combined Price: 5.9100
2026-03-28 15:46:27,638 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNHLGAME-26MAR28OTTTB-OTT at 0.0200 and Buy YES on KXNHLGAME-26MAR28OTTTB-TB at 0.9700 of size 1020 | Combined Price: 1013.2800
2026-03-28 15:49:23,074 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.5600 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.2200 of size 2 | Combined Price: 1.6300
2026-03-28 15:49:23,074 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.2200 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.5600 of size 2 | Combined Price: 1.6300
2026-03-28 16:00:03,837 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXCS2GAME-26MAR29CARACE-CAR at 0.63 and Buy NO on KXCS2GAME-26MAR29CARACE-ACE at 0.2 of size 24 | Combined Price: 20.59
2026-03-28 16:00:03,837 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXCS2GAME-26MAR29CARACE-ACE at 0.2 and Buy NO on KXCS2GAME-26MAR29CARACE-CAR at 0.63 of size 24 | Combined Price: 20.59
2026-03-28 16:21:13,361 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-NCOR at 0.5400 and Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-KKUT at 0.3200 of size 20 | Combined Price: 17.8600
2026-03-28 16:21:13,361 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-KKUT at 0.3200 and Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-NCOR at 0.5400 of size 20 | Combined Price: 17.8600
2026-03-28 16:21:14,360 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-NCOR at 0.5400 and Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-KKUT at 0.3200 of size 20 | Combined Price: 17.8600
2026-03-28 16:21:14,360 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-KKUT at 0.3200 and Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-NCOR at 0.5400 of size 20 | Combined Price: 17.8600
2026-03-28 16:21:15,372 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-NCOR at 0.5400 and Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-KKUT at 0.3200 of size 20 | Combined Price: 17.8600
2026-03-28 16:21:15,372 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-KKUT at 0.3200 and Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-NCOR at 0.5400 of size 20 | Combined Price: 17.8600
2026-03-28 16:21:16,374 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-NCOR at 0.5400 and Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-KKUT at 0.3200 of size 20 | Combined Price: 17.8600
2026-03-28 16:21:16,374 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-KKUT at 0.3200 and Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-NCOR at 0.5400 of size 20 | Combined Price: 17.8600
2026-03-28 16:21:17,361 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-NCOR at 0.5400 and Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-KKUT at 0.3200 of size 20 | Combined Price: 17.8600
2026-03-28 16:21:17,361 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-KKUT at 0.3200 and Buy YES on KXJUDGEMENTDAYGAME-26MAR28NCORKKUT-NCOR at 0.5400 of size 20 | Combined Price: 17.8600
2026-03-28 16:24:15,876 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:15,876 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:16,887 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:16,887 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:17,902 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:17,902 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:18,969 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:18,969 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:19,985 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:19,985 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:21,004 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:21,004 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:22,005 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:22,012 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:23,069 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:23,069 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:24,077 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:24,077 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:25,076 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:25,077 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:26,077 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:26,077 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:27,082 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:27,082 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:28,107 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:28,107 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:29,117 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:29,117 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:30,121 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:30,121 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:31,127 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:31,128 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:32,134 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:32,134 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:33,121 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:33,121 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:34,132 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:34,133 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:35,128 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:35,128 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:36,119 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:36,119 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:37,135 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:37,135 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:38,161 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:38,161 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:39,163 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:39,163 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:40,166 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:40,166 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:41,166 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:41,166 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:42,167 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:42,167 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:43,178 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:43,178 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:44,169 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:44,169 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:45,165 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:45,165 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:46,182 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:46,182 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:47,196 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:47,196 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:48,214 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 of size 3 | Combined Price: 2.9600
2026-03-28 16:24:48,214 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXLIIGAGAME-26MAR281100PORSAI-SAI at 0.0100 and Buy YES on KXLIIGAGAME-26MAR281100PORSAI-POR at 0.9700 of size 3 | Combined Price: 2.9600
2026-03-28 16:31:51,544 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNCAABBGAME-26MAR281300MSMSHP-MSM at 0.98 and Buy NO on KXNCAABBGAME-26MAR281300MSMSHP-SHP at 0.01 of size 102 | Combined Price: 101.20
2026-03-28 16:31:51,544 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNCAABBGAME-26MAR281300MSMSHP-SHP at 0.01 and Buy NO on KXNCAABBGAME-26MAR281300MSMSHP-MSM at 0.98 of size 102 | Combined Price: 101.20
2026-03-28 16:32:14,086 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAABBGAME-26MAR281300YOUNOR-YOU at 0.0100 and Buy YES on KXNCAABBGAME-26MAR281300YOUNOR-NOR at 0.9700 of size 50 | Combined Price: 49.1500
2026-03-28 16:32:14,086 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAABBGAME-26MAR281300YOUNOR-NOR at 0.9700 and Buy YES on KXNCAABBGAME-26MAR281300YOUNOR-YOU at 0.0100 of size 50 | Combined Price: 49.1500
2026-03-28 16:32:49,066 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNCAABBGAME-26MAR281300WAGNEW-WAG at 0.98 and Buy NO on KXNCAABBGAME-26MAR281300WAGNEW-NEW at 0.01 of size 98 | Combined Price: 97.23
2026-03-28 16:32:49,066 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNCAABBGAME-26MAR281300WAGNEW-NEW at 0.01 and Buy NO on KXNCAABBGAME-26MAR281300WAGNEW-WAG at 0.98 of size 98 | Combined Price: 97.23
2026-03-28 16:43:17,669 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAABBGAME-26MAR281300NEHHOP-NEH at 0.9400 and Buy YES on KXNCAABBGAME-26MAR281300NEHHOP-HOP at 0.0100 of size 1 | Combined Price: 0.9700
2026-03-28 16:43:17,670 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAABBGAME-26MAR281300NEHHOP-HOP at 0.0100 and Buy YES on KXNCAABBGAME-26MAR281300NEHHOP-NEH at 0.9400 of size 1 | Combined Price: 0.9700
